url,URL Length,Subdomains,Hostname Length,IP,Shortener,Hyphens,At Signs,Query Parameters,Resources,Suspicious Characters,Final Domain,SSL Exists,SSL Valid,SSL Issuer,Domain Age,Domain Expiry,Domain Registrar,VT Reputation,VT Malicious,VT Suspicious,VT Undetected,VT Harmless,favicon Present,favicon Different Domains,favicon Invalid Type,Anchor Tags,Anchor Empty Hrefs,Anchor Different Domains,Anchor Different Domains Ratio,External Metas,External Metas Suspicious Words,External Metas Ratio,External Scripts,External Scripts Suspicious Words,External Scripts Ratio,External Links,External Links Ratio,Total Links,External Total,Resources Total,Resources External,Resources External Ratio,SFH Total,SFH Blank Actions,SFH Different Domains,SFH Passwords,SFH Suspicious Words,IFrame src,IFrame src Hidden,IFrame src Size,IFrame src Different Domains,IFrame src No Sandbox,IFrame External src Ratio,IFrame srcdoc,IFrame srcdoc Scripts,IFrame srcdoc Hidden,IFrame srcdoc Suspicious Words,IFrame Total,JS Total,JS Inline,JS External,JS High Risk Patterns,JS Medium Risk Patterns,JS Low Risk Patterns,JS Different Domains,JS Behave Ratio,JS Risk Patterns Ratio,JS OnMouseOver Scripts,JS OnMouseOver Tags,NLP,AR Meta Refresh,AR JS,AR Cross Domain,Hidden Login Forms,Right Click Scripts,Right Click Menu Tags
"https://t.co/ClhH1ENrLL",15,0,4,0,1,0,0,0,1,0,"t.co",1,1,"Let's Encrypt",5528.17,315.5,"whois.corporatedomains.com",0,0,0,28,66,1,1,0,55,0,3,0.05454545454545454,0,0,0,1,0,1,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"http://propertyxpress.com.sg",21,0,21,0,0,0,0,0,0,0,"propertyxpress.com.sg",1,1,"Let's Encrypt",3725.14,657.86,"Dreamscape Networks International Pte Ltd",0,18,2,25,49,1,1,0,49,4,6,0.13333333333333333,0,0,0,7,0,0.3181818181818182,2,0.125,16,9,10,4,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,20,22,3,5,0,4,0.18181818181818182,0.4,0,0,14,0,0,0,1,0,0
"https://popl.co/card/F4VmdjLo/1",23,0,7,0,0,0,0,0,3,0,"popl.co",1,1,"Google Trust Services",2029.52,162.48,"whois.godaddy.com",0,1,0,30,63,1,6,6,6,0,5,0.8333333333333334,2,1,0.16666666666666666,2,0,0.10526315789473684,8,0.5333333333333333,15,12,13,5,0.38461538461538464,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,19,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0
"https://ipfs.io/ipfs/bafkreicq5xninncwf32xrxcd2hh62apcz5hirjxxx7hwhx2y7eykw6j3rq",72,0,7,0,0,0,0,0,2,0,"ipfs.io",1,1,"Google Trust Services",4046.72,336.28,"http://www.cscglobal.com",0,5,0,26,63,1,0,1,3,0,2,0.6666666666666666,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://choisir-son-locker.com/",22,0,22,0,0,2,0,0,0,0,"choisir-son-locker.com",1,1,"Let's Encrypt",5.5,359.5,"https://www.registrar.eu",0,15,2,29,48,1,0,0,317,8,29,0.09385113268608414,3,0,0.04918032786885246,1,0,0.1,3,0.1111111111111111,27,7,41,41,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,27,17,10,1,0,1,1,0.1,0.11764705882352941,0,0,28,0,0,0,0,0,0
"https://choisir-son-locker.com/as.php",29,0,22,0,0,2,0,0,1,0,"choisir-son-locker.com",1,1,"Let's Encrypt",5.5,359.5,"https://www.registrar.eu",0,15,2,29,48,1,0,0,317,8,29,0.09385113268608414,3,0,0.04918032786885246,1,0,0.1,3,0.1111111111111111,27,7,41,41,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,27,17,10,1,0,1,1,0.1,0.11764705882352941,0,0,28,0,0,0,0,0,0
"https://support-ledge-us.teachable.com/p/en-us",38,1,30,0,0,3,0,0,2,0,"teachable.com",1,1,"Let's Encrypt",8096.73,304.27,"http://registrar.amazon.com",0,0,0,30,64,0,0,0,0,0,0,0,1,6,0.07692307692307693,9,0,0.9,3,0.75,4,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,10,1,1,3,8,0.8,0.7142857142857143,0,0,9,0,0,0,0,0,0
"https://radiant-offer.com/",17,0,17,0,0,1,0,0,0,0,"radiant-offer.com",1,1,"Google Trust Services",521.98,209.02,"http://www.internet.bs",0,19,1,26,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"https://docs.google.com/presentation/d/e/2PACX-1vQ1uYlPv6mCAHG8BraLkPtur5kyGQiZSVTY5VPm_tL5-JUy6b6SRkXyLkjp3B1GqLxBBhsois30D6RD/pub",123,1,15,0,0,2,0,0,5,0,"google.com",1,1,"Google Trust Services",10134.33,1187.67,"http://www.markmonitor.com",0,0,0,28,66,1,1,0,0,0,0,0,1,1,0.07142857142857142,0,0,0,3,0.6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,1,0,1,1,0,0,0.1111111111111111,0,0,6,0,1,0,0,0,0
"https://play-learn-grow.ca/",18,0,18,0,0,2,0,0,0,0,"play-learn-grow.ca",1,1,"Let's Encrypt",4736.87,11.13,"ca.godaddy.com",0,17,1,27,49,1,0,0,55,0,10,0.18181818181818182,1,2,0.05555555555555555,8,0,0.7272727272727273,14,0.6666666666666666,21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,11,0,1,3,8,0.7272727272727273,0.5714285714285714,0,0,38,0,1,0,0,0,0
